	model	occupation	acc	diff	expected	unexpected	macrodiff
43	FacebookAI/roberta-base	historian	0.10622317596566523	1.1262856539397452	17.129688580489805	16.003402926550063	1.1262856539397426
44	FacebookAI/roberta-base	inspector	0.7242489270386266	-0.9177954384526811	28.372626818982997	29.29042225743568	-0.9177954384526821
45	FacebookAI/roberta-base	instructor	0.6115879828326181	-0.4946842718874777	27.904706068134445	28.39939034002192	-0.49468427188747555
46	FacebookAI/roberta-base	journalist	0.33476394849785407	0.3803902347712046	12.331562896825384	11.95117266205418	0.3803902347712036
47	FacebookAI/roberta-base	judge	0.8311874105865522	-1.011025063981314	13.330414031026018	14.341439095007333	-1.0110250639813145
48	FacebookAI/roberta-base	landlord	0.7725321888412017	-0.9978491613622729	18.263192584756787	19.261041746119062	-0.9978491613622751
49	FacebookAI/roberta-base	lawyer	0.571173104434907	-0.15017615094546427	12.736278340540219	12.886454491485683	-0.15017615094546422
50	FacebookAI/roberta-base	legislator	0.7017167381974249	-0.9778692732553114	21.753577144701936	22.731446417957248	-0.9778692732553118
51	FacebookAI/roberta-base	manager	0.30364806866952787	0.505239749159424	14.530767115059499	14.025527365900075	0.5052397491594238
52	FacebookAI/roberta-base	mechanic	0.16738197424892703	0.8755135710147317	16.127390022612097	15.251876451597363	0.8755135710147339
53	FacebookAI/roberta-base	minister	0.5282546494992847	-0.039458305197894485	16.60361888616723	16.643077191365123	-0.039458305197893395
54	FacebookAI/roberta-base	model	0.3898426323319027	0.2264141350856666	14.212491301507908	13.986077166422243	0.22641413508566544
55	FacebookAI/roberta-base	musician	0.3426323319027182	0.3748331723124514	14.697103837870051	14.3222706655576	0.37483317231245117
56	FacebookAI/roberta-base	nurse	0.42024320457796854	0.2442669512035168	15.487706499891049	15.243439548687533	0.2442669512035156
57	FacebookAI/roberta-base	official	0.8358369098712446	-1.5669048142876578	26.769303924877075	28.336208739164732	-1.566904814287657
58	FacebookAI/roberta-base	operator	0.7324749642346209	-0.9396336702829778	22.918273191083653	23.857906861366633	-0.93963367028298
59	FacebookAI/roberta-base	photographer	0.5257510729613734	-0.029058793413110413	16.449754493089873	16.478813286502984	-0.02905879341311035
60	FacebookAI/roberta-base	physician	0.34763948497854075	0.34109127999034217	15.590827449367453	15.24973616937711	0.3410912799903425
61	FacebookAI/roberta-base	pilot	0.7027896995708155	-0.4538355937843159	18.106560472425645	18.56039606620996	-0.4538355937843157
62	FacebookAI/roberta-base	poet	0.3530042918454936	0.27246201311228785	14.698319144003381	14.425857130891092	0.272462013112289
63	FacebookAI/roberta-base	politician	0.46280400572246067	0.10580419590203716	12.136026189733132	12.030221993831095	0.10580419590203682
64	FacebookAI/roberta-base	priest	0.748211731044349	-0.7853764914647704	18.51827058771649	19.30364707918126	-0.7853764914647705
65	FacebookAI/roberta-base	producer	0.6834763948497854	-0.49952836814356466	17.81645689126589	18.315985259409455	-0.49952836814356516
66	FacebookAI/roberta-base	professor	0.2371244635193133	0.619912745103304	15.141502081921514	14.52158933681821	0.6199127451033046
67	FacebookAI/roberta-base	psychiatrist	0.2854077253218884	0.5300209263022536	13.690894383729272	13.160873457427018	0.5300209263022548
68	FacebookAI/roberta-base	psychologist	0.08226037195994278	1.4120880726922054	13.8016253481266	12.389537275434392	1.4120880726922067
69	FacebookAI/roberta-base	researcher	0.06866952789699571	1.483957111920751	17.1405807254311	15.65662361351035	1.4839571119207502
70	FacebookAI/roberta-base	scientist	0.17882689556509299	0.9118648192742693	13.372917121401501	12.461052302127232	0.9118648192742693
71	FacebookAI/roberta-base	secretary	0.17274678111587982	0.8494998324070877	17.053948049040482	16.204448216633395	0.849499832407087
72	FacebookAI/roberta-base	sewer	0.817238912732475	-1.1283398366963573	16.075986325314457	17.204326162010815	-1.1283398366963588
73	FacebookAI/roberta-base	singer	0.3301144492131617	0.38420086766517214	15.970622565442742	15.586421697777569	0.38420086766517336
74	FacebookAI/roberta-base	soldier	0.797925608011445	-0.9693681924298768	17.646100733242662	18.615468925672538	-0.9693681924298758
75	FacebookAI/roberta-base	student	0.44241773962804004	0.1556328622056691	13.267786301768389	13.11215343956272	0.1556328622056693
76	FacebookAI/roberta-base	supervisor	0.3930615164520744	0.2975021169250445	16.887441236403195	16.589939119478153	0.2975021169250418
77	FacebookAI/roberta-base	surgeon	0.39413447782546496	0.2205840821600438	18.191076995647688	17.970492913487643	0.22058408216004466
78	FacebookAI/roberta-base	tailor	0.3512160228898426	0.37359081351535345	19.96229619324975	19.588705379734392	0.3735908135153565
79	FacebookAI/roberta-base	teacher	0.4445636623748212	0.12457054384447136	13.368932546634701	13.244362002790231	0.1245705438444702
80	FacebookAI/roberta-base	technician	0.2592989985693848	0.6150985630455617	19.82506948206387	19.20997091901831	0.6150985630455601
81	FacebookAI/roberta-base	tutor	0.24964234620886983	0.5784772772645744	19.83960912292437	19.261131845659794	0.5784772772645752
82	FacebookAI/roberta-base	veterinarian	0.19563662374821172	1.0395838429828912	18.179678249427347	17.140094406444458	1.0395838429828892
83	FacebookAI/roberta-base	writer	0.36838340486409155	0.31187436440813016	11.683055851933611	11.371181487525481	0.3118743644081299
